string,string,localized_a,localized_a,string,string,string,string,string,string,string,string
13897,iw9_trophy_purchase_emblem_spade_sunset,a&,a&,1,0,9773,,26148:15,0,9773,FEATURE_IW9_TU_S3
13898,iw9_trophy_purchase_player_card_enhanced_vision,a&,a&,1,0,6607,,26148:15,0,6607,FEATURE_IW9_TU_S3
13899,iw9_trophy_purchase_bp_2xp_token,a&,a&,1,0,8594,,26148:30,0,8594,FEATURE_IW9_TU_S3
13900,iw9_trophy_purchase_bp_tier_skip,a&,a&,1,0,13538,,26148:30,0,13538,FEATURE_IW9_TU_S3
13901,iw9_trophy_purchase_veh_skin_mud_skirt,a&,a&,1,0,14642,,26148:30,0,14642,FEATURE_IW9_TU_S3
13902,iw9_trophy_purchase_loading_screen_valeria,a&,a&,1,0,18577,,26148:30,0,18577,FEATURE_IW9_TU_S3
13772,iw9_trophy_purchase_sticker_bleed_out,a&,a&,1,0,15363,,26148:30,0,15363,FEATURE_IW9_TU_S3
13903,iw9_trophy_purchase_loading_screen_alejandro,a&,a&,1,0,18583,,26148:30,0,18583,FEATURE_IW9_TU_S3
13773,iw9_trophy_purchase_charm_trophy_hunter,a&,a&,1,0,9014,,26148:30,0,9014,FEATURE_IW9_TU_S3
13904,iw9_trophy_purchase_gun_screen_track_kill,a&,a&,1,0,16775,,26148:60,0,16775,FEATURE_IW9_TU_S3
13905,iw9_trophy_purchase_weapon_blueprint,a&,a&,1,0,20091,,26148:150,0,20091,FEATURE_IW9_TU_S3
13906,iw9_trophy_purchase_player_card_trophy_hunt_master,a&,a&,1,0,6304,,26148:1000,0,6304,FEATURE_IW9_TU_S3
13907,iw9_trophy_purchase_player_xp_token,a&,a&,1,0,3955,,26148:15,1682528400,3955,FEATURE_IW9_TU_S3
13908,iw9_trophy_purchase_veh_skin_woodie,a&,a&,1,0,14638,,26148:30,1682528400,14638,FEATURE_IW9_TU_S3
13909,iw9_trophy_purchase_emblem_viper_pistol,a&,a&,1,0,10045,,26148:30,1682528400,10045,FEATURE_IW9_TU_S3
13910,iw9_trophy_purchase_loading_screen_betrayed,a&,a&,1,0,18575,,26148:30,1682528400,18575,FEATURE_IW9_TU_S3
13911,iw9_trophy_purchase_bp_tier_skip_2,a&,a&,1,0,13538,,26148:30,1682528400,13538,FEATURE_IW9_TU_S3
13912,iw9_trophy_purchase_weapon_blueprint_nightsting,a&,a&,1,0,25319,,26148:120,1682528400,25319,FEATURE_IW9_TU_S3
13913,iw9_trophy_purchase_operator_skin_psyop,a&,a&,10,0,26171,,,0,,FEATURE_IW9_TU_S3
13914,iw9_trophy_purchase_operator_skin_arachnid,a&,a&,15,0,26175,,,0,,FEATURE_IW9_TU_S3
23086,iw9_soul_purchase_sticker_1,a&,a&,1,0,11135,,38901:15,1697558400,11135,FEATURE_IW9_TU_S6
23087,iw9_soul_purchase_player_card,a&,a&,1,0,6605,,38901:30,1697558400,6605,FEATURE_IW9_TU_S6
23088,iw9_soul_purchase_30_min_weapon_xp_token,a&,a&,1,0,3948,,38901:30,1697558400,3948,FEATURE_IW9_TU_S6
23089,iw9_soul_purchase_charm_1,a&,a&,1,0,8865,,38901:60,1697558400,8865,FEATURE_IW9_TU_S6
23090,iw9_soul_purchase_vehicle_skin,a&,a&,1,0,32884,,38901:90,1697558400,32884,FEATURE_IW9_TU_S6
23091,iw9_soul_purchase_weapon_blueprint_1,a&,a&,1,0,39183,,38901:150,1697558400,39183,FEATURE_IW9_TU_S6
23092,iw9_soul_purchase_loading_screen,a&,a&,1,0,18437,,38901:15,1697558400,18437,FEATURE_IW9_TU_S6
23093,iw9_soul_purchase_1_hr_weapon_xp_token,a&,a&,1,0,3951,,38901:30,1697558400,3951,FEATURE_IW9_TU_S6
23094,iw9_soul_purchase_charm_2,a&,a&,1,0,8946,,38901:30,1697558400,8946,FEATURE_IW9_TU_S6
23095,iw9_soul_purchase_sticker_2,a&,a&,1,0,11146,,38901:60,1697558400,11146,FEATURE_IW9_TU_S6
23096,iw9_soul_purchase_bp_tier_skip_1,a&,a&,1,0,13538,,38901:90,1697558400,13538,FEATURE_IW9_TU_S6
23097,iw9_soul_purchase_weapon_blueprint_2,a&,a&,1,0,18903,,38901:200,1697558400,18903,FEATURE_IW9_TU_S6
23098,iw9_soul_purchase_emblem,a&,a&,1,0,24041,,38901:15,1698166800,24041,FEATURE_IW9_TU_S6
23099,iw9_soul_purchase_charm_3,a&,a&,1,0,8860,,38901:30,1698166800,8860,FEATURE_IW9_TU_S6
23100,iw9_soul_purchase_sticker_3,a&,a&,1,0,11138,,38901:30,1698166800,11138,FEATURE_IW9_TU_S6
23101,iw9_soul_purchase_calling_card,a&,a&,1,0,6353,,38901:60,1698166800,6353,FEATURE_IW9_TU_S6
23102,iw9_soul_purchase_bp_tier_skip_2,a&,a&,1,0,13538,,38901:90,1698166800,13538,FEATURE_IW9_TU_S6
23103,iw9_soul_purchase_weapon_camo,a&,a&,1,0,30226,,38901:1000,1698166800,30226,FEATURE_IW9_TU_S6
23104,iw9_soul_purchase_operator_skin_10,a&,a&,10,0,41327,,,0,,FEATURE_IW9_TU_S6
23105,iw9_soul_purchase_operator_skin_15,a&,a&,15,0,41326,,,0,,FEATURE_IW9_TU_S6
