string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
saba_hydro,modernVillage,10,20,30,1,1,3,ru,,2,0,1,0,1,1,2
saba_hydro,redVillage,12,25,35,1,1,3,ru,,,,,1,1,1,2
saba_hydro,hydroStation,8,15,22,3,1,3,ru,,,,,0,0,0,1
saba_hydro,subStation,3,10,20,2,0,3,ru,,,,,0,1,0,0
saba_hydro,orphan,0,5,10,1,0,3,ru,,,,,0,0,1,2
saba_oilfield,oilProcessing,8,20,30,1,0,3,ru,,1,1,1,,,,
saba_oilfield,refineryStorage,10,25,35,1,0,3,ru,,,,,,,,
saba_oilfield,oilAdmin,6,10,20,2,1,3,ru,,,,,,,,
saba_oilfield,orphan,3,6,9,1,0,3,ru,,,,,,,,
saba_exhume,upperQuarry,8,15,20,1,1,3,ru,,1,1,1,,,,
saba_exhume,thePit,15,22,30,2,0,3,ru,,,,,1,1,0,1
saba_exhume,quarryProcessing,9,15,22,1,0,3,ru,,,,,,,,
saba_exhume,quarryWorkcamp,7,15,20,1,1,3,ru,,,,,,,,
saba_exhume,quarrySteppes,6,10,18,1,1,3,ru,,,,,,,,
saba_exhume,orphan,6,12,15,1,0,3,ru,,,,,,,,
saba_caves,caveFields,7,15,25,1,0,3,ru,,3,1,1,,,,
saba_caves,caves,10,20,25,3,1,3,ru,,,,,,,,
saba_caves,caveVillage,7,20,30,2,0,3,ru,,,,,,,,
saba_caves,crashlowercaves,5,12,15,3,0,3,ru,,,,,,,,
saba_caves,ridgevillage,7,15,25,1,0,3,ru,,,,,,,,
saba_caves,bottomtown,6,10,20,1,0,3,ru,,,,,,,,
saba_caves,shadowcrashentrance,6,15,25,2,0,3,ru,,,,,,,,
saba_caves,shadowcrash,6,15,25,3,0,3,ru,,,,,,,,
saba_caves,orphan,6,15,25,1,0,3,ru,,,,,,,,
saba_fort,storage,8,15,25,2,0,3,ru,,2,0,1,,,,
saba_fort,village,4,10,20,1,0,3,ru,,,,,,,,
saba_fort,fortEntrance,4,8,15,1,1,3,ru,,,,,,,,
saba_fort,fort,10,18,25,3,0,3,ru,,,,,,,,
saba_fort,orphan,4,8,16,1,1,3,ru,,,,,,,,
saba_lone,lonePort,8,15,23,1,1,3,ru,,1,1,1,,,,
saba_lone,loneStorage,8,20,28,2,0,3,ru,,,,,,,,
saba_lone,loneShip,8,15,25,1,0,3,ru,,,,,,,,
