string,string,string,string,string,string,string,string,string
vehicle32x32x128		,,27273.889,-32015.373,345.5,360,21.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,27160.9,-31731.4,345.5,360,21.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,27083.9,-31539.4,345.5,360,21.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,27350.9,-32206.4,345.5,360,21.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,28221.4,-31962.1,345.5,360,111.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,28548.4,-31831.1,345.5,360,111.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,29188.49,-31344.32,345.72,360,201.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,29111.5,-31152.301,345.72,360,201.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,29002.5,-30868.301,345.72,360,201.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,28923.5,-30673.301,345.72,360,201.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,28833.301,-30047.5,345.72,360,291.918,-90,Fix for missing clip on door frames
vehicle32x32x128		,,29047.301,-29961.5,345.72,360,291.918,-90,Fix for missing clip on door frames
vehicle128x128x256		,,35718.93,-36106.391,127.37,52.401,336.4,-90,Fix for issues with vehicles getting stuck in the runway craters
vehicle256x256x256		,,29702.197,-37658.504,-32.354,357.584,51.426,-45.048,Fix for issues with vehicles getting stuck in the runway craters
vehicle256x256x256		,,30762.414,-38559.699,-15.354,357.584,40.226,-45.049,Fix for issues with vehicles getting stuck in the runway craters
clip128x128x128,,28395.199,-33102.602,423,360,109.8,-90,Fix for players getting off ATV and being trapped in bathroom stall
clip128x128x256,,28610.184,-33019.641,423,360,109.8,-90,Fix for players getting off ATV and being trapped in bathroom stall
clip128x128x128,,28682,-33032,359,0,109.8,0,Fix for players getting off ATV and being trapped in bathroom stall
